"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"ID","numeric",628,0.00158982511923688,77,31.2484076433121,36,36,NA,19.1412631765266,NA,1,80,79,0.35201947297696,1.80498935180318,-0.461731606457549,-1.18563315278722,NA,NA
"NR","numeric",628,0.00158982511923688,81,31.531847133758,36,36,NA,19.2383009068373,NA,1,80,79,0.309162196735119,1.58523751077684,-0.526909261933641,-1.35299615777246,NA,NA
"Eligible","factor",628,0.00158982511923688,3,NA,NA,377,"yes",NA,0.490917481439409,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exclude_reason","character",629,0,50,NA,NA,221,"                                                                                                                                                                                                                                                               ",NA,0.809188127620747,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID_P","factor",587,0.0667726550079491,2,NA,NA,294,"mother",NA,0.499998548911829,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID_subgroup","character",629,0,9,NA,NA,351,"                                                                                                    ",NA,0.648598097770454,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID_iv","character",629,0,62,NA,NA,146,"warmth                                                                                              ",NA,0.923766748137832,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID_dv","character",629,0,38,NA,NA,124,"PB to fam                                                                                           ",NA,0.918479126278621,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID_report","character",629,0,48,NA,NA,249,"                                                                                                    ",NA,0.79638864526174,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID_Wave","character",629,0,23,NA,NA,102,"                                                                                                    ",NA,0.921026890539656,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Authors","character",629,0,81,NA,NA,72,"Padilla-Walker, L. M., & Son, D.                                                                                                                                                                                                                               ",NA,0.950462666912681,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTHO0","character",629,0,6,NA,NA,608,"                                                                                                                                                                                                                                                               ",NA,0.065195467608261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTHO1","character",629,0,2,NA,NA,628,"                                                                                                                                                                                                                                                               ",NA,0.00317459515065432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pub_Year","numeric",628,0.00158982511923688,29,2012.1847133758,2016,2016,NA,9.03215708677631,NA,1980,2019,39,-2.05541558479934,-10.539198904874,3.48936719301778,8.95998750882633,NA,NA
"Title","character",629,0,74,NA,NA,72,"Longitudinal associations among routine disclosure, the parent–child relationship, and adolescents’ prosocial and delinquent behaviors                                                                                                                     ",NA,0.950174526906969,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal","character",629,0,44,NA,NA,86,"Journal of Family Psychology                                                                                                                                                                                                                                   ",NA,0.930393968269214,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doi","character",629,0,55,NA,NA,88,"                                                                                                                                                                                                                                                               ",NA,0.932623261997619,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pub_type","factor",586,0.068362480127186,2,NA,NA,580,"journal article",NA,0.0202681452317441,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Design","factor",592,0.0588235294117647,2,NA,NA,305,"cross",NA,0.499537755661066,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waves","numeric",562,0.106518282988871,4,1.41992882562278,1,1,NA,0.583334805936045,NA,0,2,2,-0.413297428969983,-2.00530265683428,-0.725798318999229,-1.76386358072442,NA,NA
"Age_measure","factor",557,0.114467408585056,2,NA,NA,518,"Years",NA,0.130230879068103,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Age_m_iv","numeric",493,0.216216216216216,41,13.3242596348884,12.34,12.34,NA,7.65907414626475,NA,3,54,51,2.83422451128332,12.8845031649441,11.0904588400071,25.259202298575,NA,NA
"Age_sd_iv","numeric",339,0.461049284578696,26,1.20218289085546,1.06,1.06,NA,0.69226706004858,NA,-0.3,3.6,3.9,1.331025620294,5.02446768017757,2.29191615537805,4.33833838511021,NA,NA
"Age_m_dv","numeric",512,0.186009538950715,42,14.5861328125,13.32,13.32,NA,10.4527738566083,NA,3,81.86,78.86,3.64366346432627,16.8785288974595,16.3878105748218,38.029647812168,NA,NA
"Age_sd_dv","numeric",223,0.645468998410175,21,1.37286995515695,1.05,1.05,NA,0.80201144436101,NA,-0.3,3.6,3.9,1.03502541830822,3.17607567311963,0.995428073091892,1.53390330219843,NA,NA
"male","numeric",589,0.0635930047694754,31,46.3949881154499,50,50,NA,21.2703974925565,NA,0,100,100,-0.381325110031267,-1.89386659048007,2.16946109309607,5.396388528882,NA,NA
"N","numeric",590,0.0620031796502385,45,465.005084745763,462,462,NA,414.119486429117,NA,30,4007,3977,4.55020397709267,22.6178511591381,34.2564510616509,85.2823176876998,NA,NA
"N_m","numeric",146,0.767885532591415,20,461.178082191781,235,235,NA,474.981606684628,NA,16,1275,1259,0.888024693079254,2.21254463134711,-1.09792187007066,-1.3766459520588,NA,NA
"N_f","numeric",146,0.767885532591415,20,354.650684931507,182,182,NA,364.303276319962,NA,14,1046,1032,1.08826192779942,2.71144271619614,-0.570433330523673,-0.715246464062418,NA,NA
"SES","character",629,0,37,NA,NA,144,"999                                                                                                                                                                                                                                                            ",NA,0.912893254238059,NA,NA,NA,NA,NA,NA,NA,NA,NA
