"ID","NR","Eligible","Exclude_reason","ID_P","ID_subgroup","ID_iv","ID_dv","ID_report","ID_Wave","Authors","AUTHO0","AUTHO1","Pub_Year","Title","Journal","Doi","Pub_type","Design","Waves","Age_measure","Age_m_iv","Age_sd_iv","Age_m_dv","Age_sd_dv","male","N","N_m","N_f","SES","SES0","Country","P_Instrument","P_INS0","P_OBS","P_PR","P_SPR","P_CR","P_MIX","P_Inv","P_pos","P_Neg","P_Inc","P_War","P_Acc","P_Sen","P_Sup","P_Mon_poor","P_Mon","P_dir","P_Dem","P_Aut","P_prot","P_Con","P_Str_Con","P_B_Con","P_P_Con","P_Pun","P_Dis_indu","P_Dis","P_C_Dis","P_I_Dis","P_Hos","P_cor_pun","P_har","P_Rej","PB_instrument","PB_OBS","PB_PR","PB_PR_WHOM","PB_CR","PB_TR","PB_FR","PB_MIX","PB_PB","PB_toM","PB_toF","PB_toFR","PB_toFAM","PB_toSTR","PB_Alt","PB_Emp","PB_Sym","PB_com","PB_coop","PB_sha","M_IV","M_IV_SD","M_DV","M_DV_SD","R","R_m_f","B","ID_Copy","Eligible_copy","Lableparenting_copy","P_W","P_S","P_P","P_C","P_I","P_H","P_po","P_ne","filter_."
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","mother","Boys                                                                                                ","Supporting                                                                                          ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,100,172,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Supporting                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","mother","Boys                                                                                                ","Demanding                                                                                           ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,100,172,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Demanding                                                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","mother","Boys                                                                                                ","Controlling                                                                                         ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,100,172,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Controlling                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","mother","Boys                                                                                                ","Punishing                                                                                           ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,100,172,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Punishing                                                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","father","Boys                                                                                                ","Supporting                                                                                          ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,100,172,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Supporting                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","father","Boys                                                                                                ","Demanding                                                                                           ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,100,172,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Demanding                                                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","father","Boys                                                                                                ","Controlling                                                                                         ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,100,172,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Controlling                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","father","Boys                                                                                                ","Punishing                                                                                           ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,100,172,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Punishing                                                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","mother","girls                                                                                               ","Supporting                                                                                          ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,0,160,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Supporting                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
1,1,"no","No prosocial behavior                                                                                                                                                                                                                                          ","mother","girls                                                                                               ","Demanding                                                                                           ","social competence                                                                                   ","                                                                                                    ","                                                                                                    ","Abraham & Christopherson                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",1984,"Perceived competence among rural middle school children: Parental antecedents and relation to locus of control.                                                                                                                                                ","The Journal of Early Adolescence                                                                                                                                                                                                                               ","10.1177/0272431684044                                                                                                                                                                                                                                          ","journal article","cross",1,NA,NA,NA,NA,NA,0,160,NA,NA,"white middle to lower-middle class                                                                                                                                                                                                                             ","                                                ","US                                                                                                                                                                                                                                                             ","Cornell Parent Behavior Inventory                                                                                                                                                                                                                              ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Perceived competence scale for children (Harter, 1979)                                                                                                                                         ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,1,"no","Demanding                                                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,"Not Selected"
