"ID","NR","Eligible","Exclude_reason","ID_P","ID_subgroup","ID_iv","ID_dv","ID_report","ID_Wave","Authors","AUTHO0","AUTHO1","Pub_Year","Title","Journal","Doi","Pub_type","Design","Waves","Age_measure","Age_m_iv","Age_sd_iv","Age_m_dv","Age_sd_dv","male","N","N_m","N_f","SES","SES0","Country","P_Instrument","P_INS0","P_OBS","P_PR","P_SPR","P_CR","P_MIX","P_Inv","P_pos","P_Neg","P_Inc","P_War","P_Acc","P_Sen","P_Sup","P_Mon_poor","P_Mon","P_dir","P_Dem","P_Aut","P_prot","P_Con","P_Str_Con","P_B_Con","P_P_Con","P_Pun","P_Dis_indu","P_Dis","P_C_Dis","P_I_Dis","P_Hos","P_cor_pun","P_har","P_Rej","PB_instrument","PB_OBS","PB_PR","PB_PR_WHOM","PB_CR","PB_TR","PB_FR","PB_MIX","PB_PB","PB_toM","PB_toF","PB_toFR","PB_toFAM","PB_toSTR","PB_Alt","PB_Emp","PB_Sym","PB_com","PB_coop","PB_sha","M_IV","M_IV_SD","M_DV","M_DV_SD","R","R_m_f","B","P_W","P_S","P_P","P_C","P_I","P_H","P_po","P_ne","p_negative","id_merge","R_f","age_group","age_group3","same_reporter","observation","same_wave","country_group","p_dimension","p_cluster"
5,5,"yes","Check scales for parenting dimension, mail correlatie voor tussen vaders moeders total schalen, let op niet significante = 0 gecodeerd                                                                                                                         ","mother","boys                                                                                                ","support                                                                                             ","helping                                                                                             ","c                                                                                                   ","1                                                                                                   ","BarTal, D., Nadler, A., & Blechman, N.                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ",NA,1980,"The relationship between israeli children's helping behavior and their perception of parents' socialization practices.                                                                                                                                         ","The Journal of Social Psychology                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","journal article","cross",1,NA,NA,NA,11.5,NA,100,79,NA,NA,"middel class sub urb                                                                                                                                                                                                                                           ","                                                ","IL                                                                                                                                                                                                                                                             ","Cornell parent behavior inventory (Devereux, Bronfenbrenner and Rodgers). short!                                                                                                                                                                               ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","sociomatric questionnaire following Hoffman et al                                                                                                                                              ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"5_boys_support_helping_c",0.19,"Old","Old",TRUE,"survey","Yes","Western","positive","positive"
5,5,"yes","Check scales for parenting dimension, mail correlatie voor tussen vaders moeders total schalen, let op niet significante = 0 gecodeerd                                                                                                                         ","mother","boys                                                                                                ","discipline                                                                                          ","helping                                                                                             ","c                                                                                                   ","1                                                                                                   ","BarTal, D., Nadler, A., & Blechman, N.                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ",NA,1980,"The relationship between israeli children's helping behavior and their perception of parents' socialization practices.                                                                                                                                         ","The Journal of Social Psychology                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","journal article","cross",1,NA,NA,NA,11.5,NA,100,79,NA,NA,"middel class sub urb                                                                                                                                                                                                                                           ","                                                ","IL                                                                                                                                                                                                                                                             ","Cornell parent behavior inventory (Devereux, Bronfenbrenner and Rodgers). short!                                                                                                                                                                               ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","sociomatric questionnaire following Hoffman et al                                                                                                                                              ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.18,NA,NA,"Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",TRUE,"5_boys_discipline_helping_c",0.15,"Old","Old",TRUE,"survey","Yes","Western","negative","negative"
5,5,"yes","Check scales for parenting dimension, mail correlatie voor tussen vaders moeders total schalen, let op niet significante = 0 gecodeerd                                                                                                                         ","mother","girls                                                                                               ","support                                                                                             ","helping                                                                                             ","c                                                                                                   ","1                                                                                                   ","BarTal, D., Nadler, A., & Blechman, N.                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ",NA,1980,"The relationship between israeli children's helping behavior and their perception of parents' socialization practices.                                                                                                                                         ","The Journal of Social Psychology                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","journal article","cross",1,NA,NA,NA,11.5,NA,0,74,NA,NA,"middel class sub urb                                                                                                                                                                                                                                           ","                                                ","IL                                                                                                                                                                                                                                                             ","Cornell parent behavior inventory (Devereux, Bronfenbrenner and Rodgers). short!                                                                                                                                                                               ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","sociomatric questionnaire following Hoffman et al                                                                                                                                              ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.22,NA,NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"5_girls_support_helping_c",0.22,"Old","Old",TRUE,"survey","Yes","Western","positive","positive"
5,5,"yes","Check scales for parenting dimension, mail correlatie voor tussen vaders moeders total schalen, let op niet significante = 0 gecodeerd                                                                                                                         ","mother","girls                                                                                               ","discipline                                                                                          ","helping                                                                                             ","c                                                                                                   ","1                                                                                                   ","BarTal, D., Nadler, A., & Blechman, N.                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ",NA,1980,"The relationship between israeli children's helping behavior and their perception of parents' socialization practices.                                                                                                                                         ","The Journal of Social Psychology                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","journal article","cross",1,NA,NA,NA,11.5,NA,0,74,NA,NA,"middel class sub urb                                                                                                                                                                                                                                           ","                                                ","IL                                                                                                                                                                                                                                                             ","Cornell parent behavior inventory (Devereux, Bronfenbrenner and Rodgers). short!                                                                                                                                                                               ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","sociomatric questionnaire following Hoffman et al                                                                                                                                              ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,"Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",TRUE,"5_girls_discipline_helping_c",NA,"Old","Old",TRUE,"survey","Yes","Western","negative","negative"
6,6,"yes","Leeftijd en SD opvragen                                                                                                                                                                                                                                        ","mother","                                                                                                    ","sensitivity                                                                                         ","PB                                                                                                  ","M-M                                                                                                 ","1-3                                                                                                 ","Blair, B. L., & Perry, N. B.                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                               ",NA,2019,"Parental sensitivity and friendship development: The mediating role of cooperation.                                                                                                                                                                            ","Social Development                                                                                                                                                                                                                                             ","10.1111/sode.12332                                                                                                                                                                                                                                             ","journal article","longitudinal",2,NA,NA,NA,10.5,NA,49.2,955,NA,NA,"mean family income to needs ratio was 4,45 (SD=3,79), 22,7% below the 2.0 low-income cut-off                                                                                                                                                                   ","                                                ","US                                                                                                                                                                                                                                                             ","Observation parent-child sensitivity in lab/home, supportive presence, respect for autonomy and hostility                                                                                                                                                      ",NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Social Skills rating system (Gresham & Elliot, 1990), subscale cooperation                                                                                                                     ","Nee","Ja","both","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee",16.47,2.41,12.28,3.23,0.17,0.28,NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"6__sensitivity_PB__1-3",0.18,"Old","Med",FALSE,"observation","No","Western","positive","positive"
6,6,"yes","Leeftijd en SD opvragen                                                                                                                                                                                                                                        ","mother","                                                                                                    ","sensitivity                                                                                         ","PB                                                                                                  ","M-T                                                                                                 ","1-3                                                                                                 ","Blair, B. L., & Perry, N. B.                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                               ",NA,2019,"Parental sensitivity and friendship development: The mediating role of cooperation.                                                                                                                                                                            ","Social Development                                                                                                                                                                                                                                             ","10.1111/sode.12332                                                                                                                                                                                                                                             ","journal article","longitudinal",2,NA,NA,NA,10.5,NA,49.2,955,NA,NA,"mean family income to needs ratio was 4,45 (SD=3,79), 22,7% below the 2.0 low-income cut-off                                                                                                                                                                   ","                                                ","US                                                                                                                                                                                                                                                             ","Observation parent-child sensitivity in lab/home, supportive presence, respect for autonomy and hostility                                                                                                                                                      ",NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Social Skills rating system (Gresham & Elliot, 1990), subscale cooperation                                                                                                                     ","Nee","Nee","0","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee",16.47,2.41,15.83,4.09,0.27,0.28,NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"6__sensitivity_PB_T_1-3",0.19,"Old","Med",FALSE,"observation","No","Western","positive","positive"
8,8,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Acceptance                                                                                          ","PB-emotional                                                                                        ","CR                                                                                                  ","        1-3                                                                                         ","Carlo, White, Streit, Knight, & Zeider                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ",NA,2018," Longitudinal relations among parenting styles, prosocial behaviors, and academic outcomes in u.S. mexican adolescents.                                                                                                                                        ","Child Development                                                                                                                                                                                                                                              ","10.1111/cdev.12761                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",10.4,0.55,15.5,NA,51.9,462,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US (mexican-origin)                                                                                                                                                                                                                                            ","child report parental behavior Inventory (CRPBI)                                                                                                                                                                                                               ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Prosocial tendencies measure (Carlo & Randall, 2002) (10 items)                                                                                                                                ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.231,0.751,NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"8__Acceptance_PB-emotional_CR_1-3",0.265,"Old","Old",TRUE,"survey","No","Western","positive","positive"
8,8,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Acceptance                                                                                          ","PB-dire                                                                                             ","CR                                                                                                  ","        1-3                                                                                         ","Carlo, White, Streit, Knight, & Zeider                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ",NA,2018," Longitudinal relations among parenting styles, prosocial behaviors, and academic outcomes in u.S. mexican adolescents.                                                                                                                                        ","Child Development                                                                                                                                                                                                                                              ","10.1111/cdev.12761                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",10.4,0.55,15.5,NA,51.9,462,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US (mexican-origin)                                                                                                                                                                                                                                            ","child report parental behavior Inventory (CRPBI)                                                                                                                                                                                                               ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Prosocial tendencies measure (Carlo & Randall, 2002) (10 items)                                                                                                                                ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.25,0.751,NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"8__Acceptance_PB-dire_CR_1-3",0.293,"Old","Old",TRUE,"survey","No","Western","positive","positive"
8,8,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Acceptance                                                                                          ","PB-compliant                                                                                        ","CR                                                                                                  ","        1-3                                                                                         ","Carlo, White, Streit, Knight, & Zeider                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ",NA,2018," Longitudinal relations among parenting styles, prosocial behaviors, and academic outcomes in u.S. mexican adolescents.                                                                                                                                        ","Child Development                                                                                                                                                                                                                                              ","10.1111/cdev.12761                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",10.4,0.55,15.5,NA,51.9,462,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US (mexican-origin)                                                                                                                                                                                                                                            ","child report parental behavior Inventory (CRPBI)                                                                                                                                                                                                               ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Prosocial tendencies measure (Carlo & Randall, 2002) (10 items)                                                                                                                                ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.239,0.751,NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"8__Acceptance_PB-compliant_CR_1-3",0.237,"Old","Old",TRUE,"survey","No","Western","positive","positive"
8,8,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","harsh                                                                                               ","PB-emotional                                                                                        ","CR                                                                                                  ","        1-3                                                                                         ","Carlo, White, Streit, Knight, & Zeider                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ",NA,2018," Longitudinal relations among parenting styles, prosocial behaviors, and academic outcomes in u.S. mexican adolescents.                                                                                                                                        ","Child Development                                                                                                                                                                                                                                              ","10.1111/cdev.12761                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",10.4,0.55,15.5,NA,51.9,462,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US (mexican-origin)                                                                                                                                                                                                                                            ","child report parental behavior Inventory (CRPBI)                                                                                                                                                                                                               ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja",NA,"Prosocial tendencies measure (Carlo & Randall, 2002) (10 items)                                                                                                                                ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.009,0.782,NA,"Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",TRUE,"8__harsh_PB-emotional_CR_1-3",-0.007,"Old","Old",TRUE,"survey","No","Western","negative","negative"
