"label","est_sig","se","pvalue","confint"
"AonFcontrol","0.05",0.0280255922646062,0.0923984180376511,"[-0.01, 0.10]"
"AonFnegative","0.10***",0.0243406397948112,3.7306260433318e-05,"[0.05, 0.15]"
"AonFpositive","0.11***",0.0130441569377656,2.67380016410931e-17,"[0.08, 0.14]"
"AonMcontrol","0.12**",0.0410735273929362,0.00324674009490095,"[0.04, 0.20]"
"AonMnegative","0.11***",0.019635930039265,1.14164830503634e-08,"[0.08, 0.15]"
"AonMpositive","0.14***",0.0264746318281699,2.42928787685264e-07,"[0.08, 0.19]"
"FwithMcontrol","0.41***",0.0874976035093974,3.56254332762708e-06,"[0.23, 0.58]"
"FwithMnegative","0.40***",0.0903739396005978,1.10035266981143e-05,"[0.22, 0.57]"
"FwithMpositive","0.32***",0.0769058069928882,2.44449548448537e-05,"[0.17, 0.48]"
"D_control","0.07",NA,NA,"[-0.01, 0.18]"
"D_Fcontrolnegative","-0.05",NA,NA,"[-0.13, 0.02]"
"D_Fcontrolpositive","-0.01",NA,NA,"[-0.06, 0.04]"
"D_Mcontrolnegative","0.01",NA,NA,"[-0.08, 0.05]"
"D_Mcontrolpositive","-0.02",NA,NA,"[-0.09, 0.04]"
"D_negative","0.01",NA,NA,"[-0.02, 0.04]"
"D_positive","0.03",NA,NA,"[-0.02, 0.07]"
