"label","est_sig","se","pvalue","confint"
"AonFcontrol","0.06*",0.0299144206494766,0.0420350464809954,"[0.00, 0.12]"
"AonFnegative","0.10**",0.0315651376244166,0.00113232276347903,"[0.04, 0.17]"
"AonFpositive","0.14***",0.0338249477155628,5.06407939741669e-05,"[0.07, 0.20]"
"AonMcontrol","0.10***",0.0253092511496751,5.21902166995995e-05,"[0.05, 0.15]"
"AonMnegative","0.08***",0.0207628081293666,4.40544149247301e-05,"[0.04, 0.12]"
"AonMpositive","0.15***",0.0280044692976523,3.23926527067553e-08,"[0.10, 0.21]"
"FwithMcontrol","0.37***",0.04999229135447,2.54778629926704e-13,"[0.27, 0.46]"
"FwithMnegative","0.44***",0.0613044427678007,4.84448659690182e-13,"[0.32, 0.56]"
"FwithMpositive","0.38***",0.0663502506197166,8.74550280438363e-09,"[0.25, 0.51]"
"D_control"," 0.04",0.0479047229528214,0.40372292295449,"[-0.05, 0.14]"
"D_Fcontrolnegative","-0.04",0.0434882797549171,0.357683529694598,"[-0.13, 0.04]"
"D_Fcontrolpositive","-0.08",0.0451552837523346,0.076450314493094,"[-0.17, 0.01]"
"D_Fnegativepositive","-0.03",0.0462653758355895,0.516704882607445,"[-0.12, 0.06]"
"D_Mcontrolnegative"," 0.02",0.0327361023210444,0.541235143566533,"[-0.05, 0.08]"
"D_Mcontrolpositive","-0.05",0.03774663553749,0.18529676509209,"[-0.13, 0.02]"
"D_Mnegativepositive","-0.07*",0.0348617914350329,0.0446508431327555,"[-0.14, -0.00]"
"D_negative","-0.02",0.0393638323018212,0.611396811508617,"[-0.11, 0.05]"
"D_positive"," 0.02",0.0440209897727787,0.649592246723544,"[-0.07, 0.11]"
