"label","est_sig","se","pvalue","confint"
"AonFNo","0.07***",0.0146117014586007,3.99870723567506e-07,"[0.05, 0.10]"
"AonFYes","0.11**",0.0326913198142559,0.00126564097081772,"[0.04, 0.17]"
"AonMNo","0.13***",0.0263016887279138,1.0831792631313e-06,"[0.08, 0.18]"
"AonMYes","0.15***",0.0225711373798842,8.53220692246397e-11,"[0.10, 0.19]"
"FwithMNo","0.39***",0.0727090424610465,5.64498354663418e-08,"[0.25, 0.54]"
"FwithMYes","0.37***",0.0648959243696905,1.63602422630005e-08,"[0.24, 0.49]"
"D_concurrent","0.04",NA,NA,"[-0.04, 0.12]"
"D_Fcon_pred","0.03",NA,NA,"[-0.04, 0.10]"
"D_Mcon_pred","0.02",NA,NA,"[-0.05, 0.09]"
"D_predictive","0.05",NA,NA,"[-0.00, 0.11]"
