"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se"
"ID","numeric",0.112994350282486,77,31.2484076433121,36,36,NA,31.2484076433121,NA,1,80,79,0.35201947297696,1.80498935180318,-0.461731606457549,-1.18563315278722
"NR","numeric",0.112994350282486,81,31.531847133758,36,36,NA,31.531847133758,NA,1,80,79,0.309162196735119,1.58523751077684,-0.526909261933641,-1.35299615777246
"Eligible","factor",0.112994350282486,3,NA,NA,376,"yes",NA,0.50928536654631,NA,NA,NA,NA,NA,NA,NA
"Exclude_reason","character",0,62,NA,NA,244,"                                                                                                                                                                                                                                                               ",NA,0.829694532222541,NA,NA,NA,NA,NA,NA,NA
"EXCLU0","character",0,1,NA,NA,708,"                                                                                                                                                                                                                                                               ",NA,0,NA,NA,NA,NA,NA,NA,NA
"EXCLU1","character",0,1,NA,NA,708,"                                                                                                                                                                                                                                                               ",NA,0,NA,NA,NA,NA,NA,NA,NA
"EXCLU2","character",0,1,NA,NA,708,"                                                                                                                                                                                                                                                               ",NA,0,NA,NA,NA,NA,NA,NA,NA
"EXCLU3","character",0,1,NA,NA,708,"                                                                                                                                                                                                                                                               ",NA,0,NA,NA,NA,NA,NA,NA,NA
"EXCLU4","character",0,1,NA,NA,708,"                                                                                                                                                                                                                                                               ",NA,0,NA,NA,NA,NA,NA,NA,NA
"EXCLU5","character",0,1,NA,NA,708,"                                                                                                                                                                                                                                                               ",NA,0,NA,NA,NA,NA,NA,NA,NA
"EXCLU6","character",0,1,NA,NA,708,"                                                                                                                                                                                                                                            ",NA,0,NA,NA,NA,NA,NA,NA,NA
"ID_P","factor",0.169491525423729,2,NA,NA,295,"mother",NA,0.499994215373224,NA,NA,NA,NA,NA,NA,NA
"ID_subgroup","character",0,9,NA,NA,430,"                                                                                                    ",NA,0.599556321618947,NA,NA,NA,NA,NA,NA,NA
"ID_iv","character",0,62,NA,NA,146,"warmth                                                                                              ",NA,0.914141051422005,NA,NA,NA,NA,NA,NA,NA
"ID_dv","character",0,38,NA,NA,133,"                                                                                                    ",NA,0.906185163905647,NA,NA,NA,NA,NA,NA,NA
"ID_report","character",0,48,NA,NA,328,"                                                                                                    ",NA,0.748356155638546,NA,NA,NA,NA,NA,NA,NA
"ID_Wave","character",0,23,NA,NA,181,"                                                                                                    ",NA,0.893066328322002,NA,NA,NA,NA,NA,NA,NA
